,SUBMARKET_NAME,SUBMARKET_ID
0,Miami - Downtown,1
1,Miami - Brickell,2
2,Miami - Coral Way,3
3,Miami - Little Havana,4
4,Miami - Overtown,5
5,Miami - Allapattah,6
6,Miami - Wynwood,7
7,Miami - Edgewater,8
8,Miami - Coconut Grove,9
9,Miami - Flagami,10
10,Miami - Liberty City,11
11,Miami - Little Haiti,12
12,Miami - Upper East Side,13
13,Miami Beach,14
14,Coral Gables,15
15,South Miami,16
16,Airport,17
17,Hialeah,18
18,Miami Lakes,19
19,Opa-locka,20
20,Miami Gardens,21
21,North Miami,22
22,North Miami Beach,23
23,Doral,24
24,Fontainebleau - University Park,25
25,Sunset,26
26,Kendall West,27
27,Kendall,28
28,Three Lakes,29
29,Goulds,30
30,Homestead,31
31,Florida City,32
